"Name"	"DrugBankID"	"PubChemCompoundID"	"WikipediaID"	"DrugscomLink"	"ChemSpiderID"	"MeshID"	"idterm_descritor"	"term_type_idterm_type"	"term_type_mesh"	"tree"
"1336"	"3-(4-fluorobenzyl)-5-(3-(4-phenoxyphenyl)-1H-pyrazol- 5-yl)benzene-1,2-diol"	""	""	NA	NA	NA	"C000621019"	1344	7	4	"Catechols"
"1337"	"sonnerphenolic C"	""	""	NA	NA	NA	"C000621238"	1345	7	4	"Catechols"
"1338"	"WG 284"	""	"193180"	NA	NA	NA	"C000993"	1346	7	4	"Catechols"
"1339"	"4-nitrocatechol"	"DB03407"	""	NA	NA	NA	"C001833"	1347	7	4	"Catechols"
"1340"	"urushiol"	""	""	NA	NA	NA	"C003747"	1348	7	4	"Catechols"
"1341"	"4,5-dimethyl-3-pentadecylcatechol"	""	"151487"	NA	NA	NA	"C004156"	1349	7	4	"Catechols"
"1342"	"4-methyl-3-pentadecylcatechol"	""	"152136"	NA	NA	NA	"C004157"	1350	7	4	"Catechols"
"1343"	"3-pentadecacatechol"	""	"68118"	NA	NA	NA	"C005297"	1351	7	4	"Catechols"
"1344"	"3-pentadecylveratrole"	""	"101262"	NA	NA	NA	"C005372"	1352	7	4	"Catechols"
"1345"	"protocatechualdehyde"	"DB11268"	""	NA	NA	NA	"C005581"	1353	7	4	"Catechols"
"1346"	"benzocatechol"	""	""	NA	NA	NA	"C006701"	1354	7	4	"Catechols"
"1347"	"bibrocathol"	""	"10100751"	NA	NA	NA	"C006748"	1355	7	4	"Catechols"
"1348"	"gingerol"	""	"3473"	NA	NA	NA	"C007845"	1356	7	4	"Catechols"
"1349"	"pacifarin"	""	""	NA	NA	NA	"C008752"	1357	7	4	"Catechols"
"1350"	"H 1304"	""	"171399"	NA	NA	NA	"C009975"	1358	7	4	"Catechols"
"1351"	"delta-(3,4-dihydroxyphenyl)-gamma-valerolactone"	""	"152432"	NA	NA	NA	"C011230"	1359	7	4	"Catechols"
"1352"	"4-isopropylcatechol"	""	"16497"	NA	NA	NA	"C013074"	1360	7	4	"Catechols"
"1353"	"p-tert-butyl catechol"	""	"7381"	NA	NA	NA	"C015047"	1361	7	4	"Catechols"
"1354"	"SBS-1"	""	""	NA	NA	NA	"C015637"	1362	7	4	"Catechols"
"1355"	"Ro 363"	""	"156297"	NA	NA	NA	"C018420"	1363	7	4	"Catechols"
"1356"	"4-methylcatechol"	"DB04120"	""	NA	NA	NA	"C018599"	1364	7	4	"Catechols"
"1357"	"agrobactin"	""	"5490532"	NA	NA	NA	"C018813"	1365	7	4	"Catechols"
"1358"	"5-chloro-3-methylcatechol"	""	"36022"	NA	NA	NA	"C021164"	1366	7	4	"Catechols"
"1359"	"4-nitrocatechol sulfate"	"DB01800"	""	NA	NA	NA	"C021228"	1367	7	4	"Catechols"
"1360"	"(3,4-dihydroxybenzyl)-2-imidazoline"	""	"194451"	NA	NA	NA	"C022804"	1368	7	4	"Catechols"
"1361"	"3,4-dimethylcatechol"	""	"17738"	NA	NA	NA	"C029720"	1369	7	4	"Catechols"
"1362"	"3-ethylcatechol"	""	"70278"	NA	NA	NA	"C029721"	1370	7	4	"Catechols"
"1363"	"3-n-pentadeca-8,11,14-trienylcatechol"	""	"165032"	NA	NA	NA	"C031064"	1371	7	4	"Catechols"
"1364"	"3-methylcatechol"	"DB03454"	""	NA	NA	NA	"C031136"	1372	7	4	"Catechols"
"1365"	"3-chlorocatechol"	""	"19928"	NA	NA	NA	"C031137"	1373	7	4	"Catechols"
"1366"	"3-pentadecacatechol diacetate"	""	"173231"	NA	NA	NA	"C031607"	1374	7	4	"Catechols"
"1367"	"3-heptadecylcatechol"	""	"119222"	NA	NA	NA	"C034998"	1376	7	4	"Catechols"
"1368"	"3-trimethylaminomethylcatechol"	""	"134730"	NA	NA	NA	"C036022"	1377	7	4	"Catechols"
"1369"	"tert-butylcatechol"	""	"77643"	NA	NA	NA	"C038096"	1378	7	4	"Catechols"
"1370"	"4-chlorocatechol"	""	"16496"	NA	NA	NA	"C038861"	1379	7	4	"Catechols"
"1371"	"shogaol"	""	"5281794"	NA	NA	NA	"C040115"	1380	7	4	"Catechols"
"1372"	"vibriobactin"	""	"5462333"	NA	NA	NA	"C040227"	1381	7	4	"Catechols"
"1373"	"4-bromocatechol"	""	"28487"	NA	NA	NA	"C040660"	1382	7	4	"Catechols"
"1374"	"neodymium pyrocatechin disulfonate"	""	"161125"	NA	NA	NA	"C042235"	1383	7	4	"Catechols"
"1375"	"grevillol"	""	"174862"	NA	NA	NA	"C042675"	1384	7	4	"Catechols"
"1376"	"6-(glutathion-S-yl)-4-bromocatechol"	""	"174854"	NA	NA	NA	"C042789"	1385	7	4	"Catechols"
"1377"	"methyl-2-butylmercapto-4-catechol"	""	"127575"	NA	NA	NA	"C047171"	1386	7	4	"Catechols"
"1378"	"3-(pentadec-10-enyl)catechol"	""	"6439663"	NA	NA	NA	"C048342"	1387	7	4	"Catechols"
"1379"	"3-(methylthio)catechol"	""	"124864"	NA	NA	NA	"C049568"	1388	7	4	"Catechols"
"1380"	"1,2-dihydroxy-4-(nitroethenyl)benzene"	""	"6439158"	NA	NA	NA	"C052505"	1389	7	4	"Catechols"
"1381"	"catechol-3,6-bis(methyleneiminodiacetic acid)"	""	"134087"	NA	NA	NA	"C053731"	1390	7	4	"Catechols"
"1382"	"3,5-di-tert-butylcatechol"	""	"66099"	NA	NA	NA	"C054068"	1391	7	4	"Catechols"
"1383"	"3-heptadecadienyl pyrocatechol"	""	"131273"	NA	NA	NA	"C054650"	1392	7	4	"Catechols"
"1384"	"3,4-dichlorocatechol"	""	"19877"	NA	NA	NA	"C055404"	1393	7	4	"Catechols"
"1385"	"nitecapone"	""	"5464105"	NA	NA	NA	"C057364"	1394	7	4	"Catechols"
"1386"	"OR486"	"DB02105"	""	NA	NA	NA	"C057726"	1395	7	4	"Catechols"
"1387"	"3,4-epoxy-1,2,3,4-tetrahydrobenzene-1,2-diol"	""	"127540"	NA	NA	NA	"C061429"	1396	7	4	"Catechols"
"1388"	"3,5-dichlorocatechol"	""	"26173"	NA	NA	NA	"C063909"	1397	7	4	"Catechols"
"1389"	"3-trifluoromethylcatechol"	""	"187423"	NA	NA	NA	"C065229"	1398	7	4	"Catechols"
"1390"	"KS I"	""	"3035586"	NA	NA	NA	"C066186"	1399	7	4	"Catechols"
"1391"	"KS IV"	""	"195328"	NA	NA	NA	"C066187"	1400	7	4	"Catechols"
"1392"	"3-methoxycatechol"	""	"13622"	NA	NA	NA	"C066344"	1401	7	4	"Catechols"
"1393"	"2,4-dihydroxybenzylamine"	""	"124993"	NA	NA	NA	"C067001"	1402	7	4	"Catechols"
"1394"	"2,3-dihydroxybenzaldehyde"	""	"90579"	NA	NA	NA	"C067077"	1403	7	4	"Catechols"
"1395"	"3-(2-hydroxyphenyl)catechol"	""	"569"	NA	NA	NA	"C067814"	1404	7	4	"Catechols"
"1396"	"3-(tridecafluoroundecyl)catechol"	""	"125480"	NA	NA	NA	"C067825"	1405	7	4	"Catechols"
"1397"	"3-(nonafluoropentadecyl)catechol"	""	"125481"	NA	NA	NA	"C067826"	1406	7	4	"Catechols"
"1398"	"N-(3,4-dihydroxyphenyl)maleimide"	""	"130563"	NA	NA	NA	"C068975"	1407	7	4	"Catechols"
"1399"	"3,4,6-trichlorocatechol"	""	"32817"	NA	NA	NA	"C069880"	1408	7	4	"Catechols"
"1400"	"brandioside"	""	"6444015"	NA	NA	NA	"C070029"	1409	7	4	"Catechols"
"1401"	"entacapone"	"DB00494"	""	NA	NA	NA	"C071192"	1410	7	4	"Catechols"
"1402"	"E 4080"	""	"6439262"	NA	NA	NA	"C072129"	1411	7	4	"Catechols"
"1403"	"4-fluorocatechol"	""	"160458"	NA	NA	NA	"C072305"	1412	7	4	"Catechols"
"1404"	"leonoside A"	""	"6444244"	NA	NA	NA	"C072840"	1413	7	4	"Catechols"
"1405"	"leonoside B"	""	"6444021"	NA	NA	NA	"C072842"	1414	7	4	"Catechols"
"1406"	"2,6-bis((3,4-dihydroxyphenyl)methylene)cyclohexanone"	""	"126672"	NA	NA	NA	"C074154"	1415	7	4	"Catechols"
"1407"	"3,4,5-trichlorocatechol"	""	"32816"	NA	NA	NA	"C074311"	1416	7	4	"Catechols"
"1408"	"1,2-dihydroxy-4'-chlorobiphenyl"	""	"108673"	NA	NA	NA	"C074625"	1417	7	4	"Catechols"
"1409"	"Ro 41-1879"	""	"23715650"	NA	NA	NA	"C075241"	1418	7	4	"Catechols"
"1410"	"SM 11044"	""	"132507"	NA	NA	NA	"C076952"	1419	7	4	"Catechols"
"1411"	"JAM 2-263"	""	"3083214"	NA	NA	NA	"C078050"	1420	7	4	"Catechols"
"1412"	"1,2-diacetoxy-4-propylbenzene"	""	"192226"	NA	NA	NA	"C079312"	1421	7	4	"Catechols"
"1413"	"4-propylcatechol"	""	"97638"	NA	NA	NA	"C079313"	1422	7	4	"Catechols"
"1414"	"Cancell"	""	""	NA	NA	NA	"C079348"	1423	7	4	"Catechols"
"1415"	"rooperol"	""	"6438989"	NA	NA	NA	"C079659"	1424	7	4	"Catechols"
"1416"	"3-propylcatechol"	""	"3014143"	NA	NA	NA	"C080639"	1425	7	4	"Catechols"
"1417"	"1,14-bis(2,3-dihydroxybenzoyl)-5,10-bis(1-hydroxy-2-pyridon-6-oyl)-1,5,10,14-tetraazatetradecane"	""	"10350102"	NA	NA	NA	"C080800"	1426	7	4	"Catechols"
"1418"	"1,5,14-tris(2,3-dihydroxybenzoyl)-10-(1-hydroxy-2-pyridon-6-oyl)-1,5,10,14-tetraazatetradecane"	""	"132786"	NA	NA	NA	"C080802"	1427	7	4	"Catechols"
"1419"	"3,4-bis(3,4-dihydroxyphenyl)pyrrolidine"	""	"3025832"	NA	NA	NA	"C080923"	1428	7	4	"Catechols"
"1420"	"fluvibactin"	""	"5487127"	NA	NA	NA	"C082368"	1429	7	4	"Catechols"
"1421"	"N(1),N(7)-bis(2,3-dihydroxybenzoyl)norspermidine"	""	"56842596"	NA	NA	NA	"C082369"	1430	7	4	"Catechols"
"1422"	"rimiterol"	""	"36283"	NA	NA	NA	"C084590"	1431	7	4	"Catechols"
"1423"	"knerachelin A"	""	"197624"	NA	NA	NA	"C084706"	1432	7	4	"Catechols"
"1424"	"knerachelin B"	""	"197625"	NA	NA	NA	"C084707"	1433	7	4	"Catechols"
"1425"	"helichrysoside"	""	"5317991"	NA	NA	NA	"C084710"	1434	7	4	"Catechols"
"1426"	"4-methyl-5-nitrocatechol"	""	"4660280"	NA	NA	NA	"C087486"	1435	7	4	"Catechols"
"1427"	"OR 1246"	""	"5486944"	NA	NA	NA	"C088170"	1436	7	4	"Catechols"
"1428"	"4-hydroxy-3-((trimethylammonio)methyl)catechol"	""	"178736"	NA	NA	NA	"C088430"	1437	7	4	"Catechols"
"1429"	"5-hydroxy-3-((trimethylammonio)methyl)catechol"	""	"3083485"	NA	NA	NA	"C088431"	1438	7	4	"Catechols"
"1430"	"N,N'-(2,3-dihydroxybenzyl)-N,N,N',N'-tetramethyl-1,6-hexanediamine"	""	"204060"	NA	NA	NA	"C090934"	1439	7	4	"Catechols"
"1431"	"N,N'-(2,3-dihydroxy-benzyl)-N,N,N',N'-tetramethyl-1,10-decanediamine"	""	"204062"	NA	NA	NA	"C090935"	1440	7	4	"Catechols"
"1432"	"methyl-3-(4,5-dihydroxy-2-methoxyphenyl)propenoate"	""	""	NA	NA	NA	"C092640"	1441	7	4	"Catechols"
"1433"	"2-(3',4'-dihydroxyphenyl)ethylene sulfate"	""	"6444306"	NA	NA	NA	"C093036"	1442	7	4	"Catechols"
"1434"	"5-methyl-3-n-pentadecylcatechol"	""	"152135"	NA	NA	NA	"C093576"	1443	7	4	"Catechols"
"1435"	"4-allylcatechol"	""	""	NA	NA	NA	"C095190"	1444	7	4	"Catechols"
"1436"	"demethyldiisoeugenol"	""	"11779554"	NA	NA	NA	"C095957"	1445	7	4	"Catechols"
"1437"	"5-(3,4-dihydroxyphenylmethyl)oxazolidine-2,4-dione"	""	""	NA	NA	NA	"C096068"	1446	7	4	"Catechols"
"1438"	"3-(3,4-dihydroxyphenyl)lactamide"	""	""	NA	NA	NA	"C096069"	1447	7	4	"Catechols"
"1439"	"methyl-3-(4,5-dihydroxy-2--methoxyphenyl)-2-butenoate"	""	""	NA	NA	NA	"C096565"	1448	7	4	"Catechols"
"1440"	"3,4-dihydroxyphenylglycine"	""	"27915"	NA	NA	NA	"C099561"	1449	7	4	"Catechols"
"1441"	"marchantin H"	""	"10478411"	NA	NA	NA	"C102015"	1450	7	4	"Catechols"
"1442"	"hispolon"	""	"10082188"	NA	NA	NA	"C103442"	1451	7	4	"Catechols"
"1443"	"cysdopac"	""	""	NA	NA	NA	"C109504"	1452	7	4	"Catechols"
"1444"	"4-nerolidylcatechol"	""	"5352089"	NA	NA	NA	"C110583"	1453	7	4	"Catechols"
"1445"	"magnone A"	""	"9822388"	NA	NA	NA	"C113221"	1454	7	4	"Catechols"
"1446"	"tetrachloropyrocatechol methyl ester"	""	""	NA	NA	NA	"C115618"	1455	7	4	"Catechols"
"1447"	"tetrachloropyrocatechol"	""	""	NA	NA	NA	"C115619"	1456	7	4	"Catechols"
"1448"	"3-methoxyl-5-(2-,2-dicyanoethenyl)catechol"	""	"667645"	NA	NA	NA	"C117920"	1457	7	4	"Catechols"
"1449"	"tamoxifen catechol"	""	""	NA	NA	NA	"C119993"	1458	7	4	"Catechols"
"1450"	"4-tert-octylcatechol"	""	"70828"	NA	NA	NA	"C120504"	1459	7	4	"Catechols"
"1451"	"clusiparalicoline A"	""	"10070892"	NA	NA	NA	"C402902"	1460	7	4	"Catechols"
"1452"	"clusiparalicoline B"	""	"10432286"	NA	NA	NA	"C402903"	1461	7	4	"Catechols"
"1453"	"5-hydroxyconiferyl aldehyde"	""	""	NA	NA	NA	"C405696"	1462	7	4	"Catechols"
"1454"	"4-sulfocatechol"	""	"189003"	NA	NA	NA	"C409182"	1463	7	4	"Catechols"
"1455"	"3,3,3',3'-tetramethyl-1,1'-spirobi(indan)-5,5',6,6'-tetrol"	""	"66162"	NA	NA	NA	"C409871"	1464	7	4	"Catechols"
"1456"	"3-demethoxy-3'-O-demethylmatairesinol"	""	""	NA	NA	NA	"C413892"	1465	7	4	"Catechols"
"1457"	"AG 538"	""	"5328760"	NA	NA	NA	"C419770"	1466	7	4	"Catechols"
"1458"	"lanosol"	""	"78659"	NA	NA	NA	"C420505"	1467	7	4	"Catechols"
"1459"	"plantamajoside"	""	"5281788"	NA	NA	NA	"C421173"	1468	7	4	"Catechols"
"1460"	"3,4,5,6-tetrachlorocatechol"	""	"14537"	NA	NA	NA	"C423629"	1469	7	4	"Catechols"
"1461"	"4,5-dichlorocatechol"	""	"18909"	NA	NA	NA	"C423630"	1470	7	4	"Catechols"
"1462"	"pyridinochelin"	""	""	NA	NA	NA	"C436357"	1471	7	4	"Catechols"
"1463"	"NBI 31772"	""	"54684689"	NA	NA	NA	"C436731"	1472	7	4	"Catechols"
"1464"	"isocordoin"	""	"6251270"	NA	NA	NA	"C438026"	1473	7	4	"Catechols"
"1465"	"myxochelin B"	""	"10873133"	NA	NA	NA	"C438374"	1474	7	4	"Catechols"
"1466"	"alpha-O-methyllanosol"	""	""	NA	NA	NA	"C448640"	1475	7	4	"Catechols"
"1467"	"2-guaicyl-4-oxo-6-catechyl-3,7-dioxabicyclo(3.3.0)octane"	""	""	NA	NA	NA	"C450168"	1476	7	4	"Catechols"
"1468"	"2-cyano-N,N-diethyl-3-(3,4-dipivaloyloxy-5-nitrophenyl)propenamide"	""	""	NA	NA	NA	"C451245"	1477	7	4	"Catechols"
"1469"	"2,3-dihydroxybiphenyl"	"DB02923"	""	NA	NA	NA	"C454813"	1478	7	4	"Catechols"
"1470"	"2-morpholino-4-catechol"	""	""	NA	NA	NA	"C455579"	1479	7	4	"Catechols"
"1471"	"isoriccardin C"	""	"13831041"	NA	NA	NA	"C459128"	1480	7	4	"Catechols"
"1472"	"AGL 2592"	""	""	NA	NA	NA	"C466796"	1481	7	4	"Catechols"
"1473"	"cistanoside C"	""	""	NA	NA	NA	"C471338"	1482	7	4	"Catechols"
"1474"	"cistanoside B"	""	""	NA	NA	NA	"C471466"	1483	7	4	"Catechols"
"1475"	"aminochelin"	""	"85550078"	NA	NA	NA	"C472376"	1484	7	4	"Catechols"
"1476"	"2,4-dichlorophenoxypropionic acid"	""	""	NA	NA	NA	"C473754"	1485	7	4	"Catechols"
"1477"	"Stalevo"	""	""	NA	NA	NA	"C481098"	1486	7	4	"Catechols"
"1478"	"4-(2-(3,5-dimethoxyphenyl)ethenyl)-1,2-benzenediol"	""	""	NA	NA	NA	"C488365"	1487	7	4	"Catechols"
"1479"	"2-(2,3-dihydroxyphenyl)-4,5-dihydro-4-methyl-4-thiazolecarboxylic acid"	""	""	NA	NA	NA	"C497148"	1488	7	4	"Catechols"
"1480"	"3-chloro-4-methylcatechol"	""	"177281"	NA	NA	NA	"C499986"	1489	7	4	"Catechols"
"1481"	"4-chloro-3-methylcatechol"	""	"87531"	NA	NA	NA	"C499987"	1490	7	4	"Catechols"
"1482"	"nitrocatechol"	""	"4675622"	NA	NA	NA	"C506350"	1491	7	4	"Catechols"
"1483"	"hirsutenone"	""	""	NA	NA	NA	"C508777"	1492	7	4	"Catechols"
"1484"	"2-methoxy-4-(undecyl-4'-O-beta-D-glucopyranosyl) phenol"	""	""	NA	NA	NA	"C512672"	1493	7	4	"Catechols"
"1485"	"cinchonain Ib"	""	"442675"	NA	NA	NA	"C513224"	1494	7	4	"Catechols"
"1486"	"o-orsellinaldehyde"	""	"251690"	NA	NA	NA	"C514789"	1495	7	4	"Catechols"
"1487"	"leucomelone"	""	"9974488"	NA	NA	NA	"C518214"	1496	7	4	"Catechols"
"1488"	"NSC 36398"	""	"235240"	NA	NA	NA	"C519302"	1497	7	4	"Catechols"
"1489"	"4-((pyridin-4-yl)vinyl)catechol"	""	""	NA	NA	NA	"C521516"	1498	7	4	"Catechols"
"1490"	"4-((quinolin-4-yl)vinyl)catechol"	""	""	NA	NA	NA	"C521517"	1499	7	4	"Catechols"
"1491"	"allylpyrocatechol"	""	"292101"	NA	NA	NA	"C523074"	1500	7	4	"Catechols"
"1492"	"artochamin F"	""	"16080290"	NA	NA	NA	"C524264"	1501	7	4	"Catechols"
"1493"	"artochamin H"	""	"23584970"	NA	NA	NA	"C524265"	1502	7	4	"Catechols"
"1494"	"artochamin I"	""	"23584971"	NA	NA	NA	"C524266"	1503	7	4	"Catechols"
"1495"	"artochamin J"	""	"23584972"	NA	NA	NA	"C524267"	1504	7	4	"Catechols"
"1496"	"hydroxytyrosyl acetate"	""	"89373374"	NA	NA	NA	"C524604"	1505	7	4	"Catechols"
"1497"	"4-ethylcatechol"	""	"70761"	NA	NA	NA	"C527200"	1506	7	4	"Catechols"
"1498"	"2-(4,5-dihydro-1,3-thiazol-2-ylthio)-1-(3,4-dihydroxyphenyl)ethanone"	""	""	NA	NA	NA	"C529061"	1507	7	4	"Catechols"
"1499"	"inoscavin E"	""	""	NA	NA	NA	"C529095"	1508	7	4	"Catechols"
"1500"	"8-gingerol"	""	"168114"	NA	NA	NA	"C534464"	1509	7	4	"Catechols"
"1501"	"3,6-di-tert-butylcatecholate"	""	""	NA	NA	NA	"C540948"	1510	7	4	"Catechols"
"1502"	"(S)-2,6-bis((2,3-dihydroxybenzoyl)amino)hexanoamide"	""	""	NA	NA	NA	"C541069"	1511	7	4	"Catechols"
"1503"	"3-(8',11'-pentadecadienyl)catechol"	""	""	NA	NA	NA	"C542488"	1512	7	4	"Catechols"
"1504"	"2-(3,4-dihydroxyphenyl)-2-ethoxyethanol"	""	""	NA	NA	NA	"C543286"	1513	7	4	"Catechols"
"1505"	"2-(3,4-dihydroxyphenyl)-2-acetoxyethanol"	""	""	NA	NA	NA	"C543287"	1514	7	4	"Catechols"
"1506"	"methyl 5-(3,4-dihydroxyphenyl)-3-hydroxypenta-2,4-dienoate"	""	""	NA	NA	NA	"C544868"	1515	7	4	"Catechols"
"1507"	"6-(3,4-dihydroxyphenyl)-4-hydroxyhexa-3,5-dien-2-one"	""	""	NA	NA	NA	"C544869"	1516	7	4	"Catechols"
"1508"	"4,5-dimercaptocatechol"	""	""	NA	NA	NA	"C545236"	1517	7	4	"Catechols"
"1509"	"4-(butoxymethyl)benzene-1,2-diol"	""	""	NA	NA	NA	"C547793"	1518	7	4	"Catechols"
"1510"	"4-isoamylbenzene-1,2-diol"	""	""	NA	NA	NA	"C549641"	1519	7	4	"Catechols"
"1511"	"5,5'-methylene bis(3,4-dibromobenzene-1,2-diol)"	""	""	NA	NA	NA	"C554615"	1520	7	4	"Catechols"
"1512"	"cistanoside A"	""	""	NA	NA	NA	"C555977"	1521	7	4	"Catechols"
"1513"	"3-methylbenzene-1,2-diol"	""	""	NA	NA	NA	"C558946"	1522	7	4	"Catechols"
"1514"	"phellinstatin"	""	"54728876"	NA	NA	NA	"C559136"	1523	7	4	"Catechols"
"1515"	"3-hydroxy-1-(3',5'-dimethoxy-4'-hydroxyphenyl)-hexan-5-one"	""	""	NA	NA	NA	"C560653"	1524	7	4	"Catechols"
"1516"	"3-hydroxy-1-(4'-hydroxy-3'-methoxy-phenyl)-hexan-5-one"	""	""	NA	NA	NA	"C560654"	1525	7	4	"Catechols"
"1517"	"N1-(2-(2,3-dihydroxyphenyl)-5-methyl-2-oxazoline-4-carboxamido)-N3-(2,3-dihydroxyphenyl)-1,3-diaminopropane"	""	"101806727"	NA	NA	NA	"C568344"	1526	7	4	"Catechols"
"1518"	"3-(4-chlorophenyl)adamantane-1-carboxylic acid 3,4-dihydroxybenzylamide"	""	"102341548"	NA	NA	NA	"C569360"	1527	7	4	"Catechols"
"1519"	"cistanoside F"	""	""	NA	NA	NA	"C574495"	1528	7	4	"Catechols"
"1520"	"ningalin G"	""	""	NA	NA	NA	"C575179"	1529	7	4	"Catechols"
"1521"	"O-methyldehydrogingerol"	""	""	NA	NA	NA	"C576570"	1530	7	4	"Catechols"
"1522"	"3-bromo-4,5-bis(2,3-dibromo-4,5-dihydroxybenzyl)-1,2-benzenediol"	""	""	NA	NA	NA	"C576799"	1531	7	4	"Catechols"
"1523"	"12-(3-methoxy-4-(methoxymethoxy) phenyl)-10-oxododec-8-enoic acid ethyl ester"	""	""	NA	NA	NA	"C579625"	1532	7	4	"Catechols"
"1524"	"8-(3-(4-hydroxy-3-methoxyphenyl) propanamido) octanoic acid ethyl ester"	""	""	NA	NA	NA	"C579626"	1533	7	4	"Catechols"
"1525"	"12-(4-hydroxy-3-methoxyphenyl)-10-oxododec-8-enoic acid ethyl ester"	""	""	NA	NA	NA	"C579627"	1534	7	4	"Catechols"
"1526"	"4-((4-hydroxyphenylimino)methyl)benzene-1,2-diol"	""	""	NA	NA	NA	"C580935"	1535	7	4	"Catechols"
"1527"	"nigribactin"	""	""	NA	NA	NA	"C580974"	1536	7	4	"Catechols"
"1528"	"(E)-4-(3,7-dimethylocta-2,6-dienylamino)phenol"	""	""	NA	NA	NA	"C581041"	1537	7	4	"Catechols"
"1529"	"5-propyl-3-(4-propylphenoxy)benzene-1,2-diol"	""	""	NA	NA	NA	"C581089"	1538	7	4	"Catechols"
"1530"	"3,4-dibromo-5-(2-bromo-3,4-dihydroxy-6-(isopropoxymethyl)benzyl)benzene-1,2-diol"	""	""	NA	NA	NA	"C583476"	1539	7	4	"Catechols"
"1531"	"3,4-dibromo-5-(2-bromo-3,4-dihydroxy-6-(isobutoxymethyl)benzyl)benzene-1,2-diol"	""	"53371738"	NA	NA	NA	"C584132"	1540	7	4	"Catechols"
"1532"	"3-hydroxybakuchiol"	""	"10492429"	NA	NA	NA	"C584536"	1541	7	4	"Catechols"
"1533"	"8-(3,4-dihydroxyphenyl)-9,10-dihydro-5,9-dihydroxy-2H,8H-pyrano(2,3-f)chromen-2-one"	""	""	NA	NA	NA	"C585654"	1542	7	4	"Catechols"
"1534"	"4-((E)-2'-(S)-glutathionyl ethenyl)catechol"	""	""	NA	NA	NA	"C585866"	1543	7	4	"Catechols"
"1535"	"1-(2',4'-dihydroxy-5'-methyl-3'-methylsulfanylmethyl-phenyl)-ethanone"	""	""	NA	NA	NA	"C587281"	1544	7	4	"Catechols"
"1536"	"R-3-(3'-acetyl-2',6'-dihydroxy-5'-methylphenyl)-2-methyl-propionic acid methyl ester"	""	""	NA	NA	NA	"C587282"	1545	7	4	"Catechols"
"1537"	"ribisin C"	""	"71456108"	NA	NA	NA	"C588103"	1546	7	4	"Catechols"
"1538"	"TARGET 1 dietary supplement"	""	""	NA	NA	NA	"C000602145"	1547	7	4	"Capsaicin"
"1539"	"N-(3-methoxy-4-hydroxyphenethyl)-tetracosanamide"	""	""	NA	NA	NA	"C000602159"	1548	7	4	"Capsaicin"
"1540"	"N-(3,4-dihydroxyphenethyl)-tetracosanamide"	""	""	NA	NA	NA	"C000602160"	1549	7	4	"Capsaicin"
"1541"	"phenylacetylrinvanil"	""	"73852566"	NA	NA	NA	"C000606937"	1550	7	4	"Capsaicin"
"1542"	"rinvanil"	""	""	NA	NA	NA	"C000606938"	1551	7	4	"Capsaicin"
"1543"	"nordihydrocapsiate"	""	"9817607"	NA	NA	NA	"C000619851"	1552	7	4	"Capsaicin"
"1544"	"dihydrocapsaicin"	""	"107982"	NA	NA	NA	"C012906"	1553	7	4	"Capsaicin"
"1545"	"methylcapsaicin"	""	"6440227"	NA	NA	NA	"C030097"	1554	7	4	"Capsaicin"
"1546"	"nonivamide"	""	""	NA	NA	NA	"C040937"	1555	7	4	"Capsaicin"
"1547"	"olvanil"	""	"5311093"	NA	NA	NA	"C054256"	1556	7	4	"Capsaicin"
"1548"	"NE 21610"	""	"6441194"	NA	NA	NA	"C065373"	1557	7	4	"Capsaicin"
"1549"	"capsazepine"	""	"2733484"	NA	NA	NA	"C071423"	1558	7	4	"Capsaicin"
"1550"	"N-(4-O-glycerol-3-methoxybenzyl)nonivamide"	""	"3035784"	NA	NA	NA	"C080418"	1559	7	4	"Capsaicin"
"1551"	"KR 25003"	""	"22909786"	NA	NA	NA	"C094051"	1560	7	4	"Capsaicin"
"1552"	"sodium nonivamide acetate"	""	"23664979"	NA	NA	NA	"C098824"	1561	7	4	"Capsaicin"
"1553"	"DA 5018"	""	"177286"	NA	NA	NA	"C101852"	1562	7	4	"Capsaicin"
"1554"	"capsinolol"	""	"9887704"	NA	NA	NA	"C104667"	1563	7	4	"Capsaicin"
"1555"	"stearoyl vanillylamide"	""	"121514022"	NA	NA	NA	"C115694"	1564	7	4	"Capsaicin"
"1556"	"zucapsaicin"	"DB09120"	""	NA	NA	NA	"C117479"	1565	7	4	"Capsaicin"
"1557"	"arvanil"	""	"6449767"	NA	NA	NA	"C121153"	1566	7	4	"Capsaicin"
"1558"	"SDZ 249-665"	""	""	NA	NA	NA	"C425286"	1567	7	4	"Capsaicin"
"1559"	"N-(3-phenylpropyl)-4-hydroxy-3-methoxyphenylacetamide"	""	""	NA	NA	NA	"C464533"	1568	7	4	"Capsaicin"
"1560"	"capsiate"	""	"9839519"	NA	NA	NA	"C470213"	1569	7	4	"Capsaicin"
"1561"	"6'',7''-dihydro-5',5'''-dicapsaicin"	""	"10483873"	NA	NA	NA	"C479844"	1570	7	4	"Capsaicin"
"1562"	"omega-hydroxycapsaicin"	""	""	NA	NA	NA	"C479845"	1571	7	4	"Capsaicin"
"1563"	"N-(4-O-(2-methoxy,phenoxyethylaminobutyl)-3-methoxybenzyl)nonamide"	""	""	NA	NA	NA	"C482267"	1572	7	4	"Capsaicin"
"1564"	"5,5'-dicapsaicin"	""	"101601478"	NA	NA	NA	"C483184"	1573	7	4	"Capsaicin"
